date,value,capital,shares,stock_value,returns
2020-06-08 00:00:00-04:00,11785.412119064329,4345.71369377136,92,7439.698425292969,0.003724342152601645
2020-06-09 00:00:00-04:00,12013.340919540404,6340.788826034544,68,5672.552093505859,0.019339909217716
2020-06-10 00:00:00-04:00,12152.739359970092,7874.437358016967,50,4278.302001953125,0.011603636437466536
2020-06-11 00:00:00-04:00,11937.774957077025,3303.2285550994866,106,8634.546401977539,-0.017688555355769298
2020-06-12 00:00:00-04:00,12006.336446243286,4283.177770095825,94,7723.158676147461,0.005743238535889539
2020-06-15 00:00:00-04:00,12096.018603836059,5109.119678054809,84,6986.89892578125,0.007469568922569669
2020-06-16 00:00:00-04:00,12274.307167297364,6980.639488464355,62,5293.667678833008,0.014739441902376305
2020-06-17 00:00:00-04:00,12258.957531677246,3988.4524047241207,97,8270.505126953125,-0.0012505500645294543
2020-06-18 00:00:00-04:00,12262.2522399292,3988.4524047241207,97,8273.799835205078,0.000268759251627948
2020-06-19 00:00:00-04:00,12208.357504699707,2370.4615086059566,116,9837.89599609375,-0.004395174244907207
2020-06-22 00:00:00-04:00,12458.141123931884,4973.701640289306,86,7484.439483642578,0.02046005116871963
2020-06-23 00:00:00-04:00,12610.939660888671,6922.237512451171,64,5688.7021484375,0.012264954734158895
2020-06-24 00:00:00-04:00,12501.505600814819,2896.6413277435295,110,9604.864273071289,-0.008677708641589121
2020-06-25 00:00:00-04:00,12622.95449205017,3952.293237167358,98,8670.661254882812,0.009714741177049513
2020-06-26 00:00:00-04:00,12349.312714431762,1715.3647774200435,124,10633.947937011719,-0.021678108543506602
2020-06-29 00:00:00-04:00,12584.65179585266,6443.266908157349,70,6141.3848876953125,0.019056856592988725
2020-06-30 00:00:00-04:00,12630.209857192993,7145.290682998657,62,5484.919174194336,0.0036201288743917814
2020-07-01 00:00:00-04:00,12619.836947647094,7145.290682998657,62,5474.5462646484375,-0.0008212776876380667
2020-07-02 00:00:00-04:00,12619.836947647094,7145.290682998657,62,5474.5462646484375,0.0
2020-07-06 00:00:00-04:00,12759.829393447875,8589.417985977172,46,4170.411407470703,0.011093047111585763
2020-07-07 00:00:00-04:00,12739.992513061523,6684.5434316406245,67,6055.4490814208975,-0.001554635236466262
2020-07-08 00:00:00-04:00,12881.023648620605,6684.5434316406245,67,6196.4802169799805,0.011069954351581535
2020-07-09 00:00:00-04:00,12900.812239166258,4820.0360932312005,87,8080.776145935059,0.001536259158081199
2020-07-10 00:00:00-04:00,12909.017165542602,5744.5552438507075,77,7164.4619216918945,0.000636000759040023
2020-07-13 00:00:00-04:00,12868.557292327881,3329.138644561767,103,9539.418647766115,-0.003134233435115319
2020-07-14 00:00:00-04:00,13020.290854187011,4452.789290161132,91,8567.501564025879,0.01179103130306558
2020-07-15 00:00:00-04:00,13073.26600639343,5394.800086898803,81,7678.465919494629,0.004068661199637003
2020-07-16 00:00:00-04:00,12971.816062286376,3421.6162637023917,102,9550.199798583984,-0.007760107080926892
2020-07-17 00:00:00-04:00,12946.682009109498,2574.8129447784413,111,10371.869064331057,-0.0019375893904286512
2020-07-20 00:00:00-04:00,13165.255602249144,2574.8129447784413,111,10590.442657470703,0.01688259532333114
2020-07-21 00:00:00-04:00,13013.623395980834,2098.879377426146,116,10914.744018554688,-0.011517604431653061
2020-07-22 00:00:00-04:00,13044.281904281615,2098.879377426146,116,10945.402526855469,0.0023558779417460762
2020-07-23 00:00:00-04:00,12540.550064010618,1552.9660186004626,122,10987.584045410156,-0.038617061787483586
2020-07-24 00:00:00-04:00,12507.8800283432,1098.3216100692737,127,11409.558418273926,-0.00260515172784781
2020-07-27 00:00:00-04:00,12770.252020988464,4125.238288078307,94,8645.013732910156,0.02097653575591729
2020-07-28 00:00:00-04:00,12621.24645464325,2128.184809135436,116,10493.061645507812,-0.011668177425184556
2020-07-29 00:00:00-04:00,12814.61599848175,4886.159653877257,86,7928.456344604492,0.01532095459298799
2020-07-30 00:00:00-04:00,12904.61736277008,5813.295280250548,76,7091.322082519531,0.0070233368131353835
2020-07-31 00:00:00-04:00,13640.143176551817,7661.790698524474,58,5978.352478027344,0.05699710368040334
2020-08-03 00:00:00-04:00,13783.24720890045,10190.38945133209,34,3592.857757568359,0.01049138784661996
2020-08-04 00:00:00-04:00,13801.921223800657,10504.204220932004,31,3297.7170028686523,0.0013548342141138647
2020-08-05 00:00:00-04:00,13808.554920181272,10819.174671157834,28,2989.3802490234375,0.0004806357225961566
2020-08-06 00:00:00-04:00,13906.636513542173,12028.332489799497,17,1878.3040237426758,0.007102958559230155
2020-08-07 00:00:00-04:00,13852.021355705258,5105.930298881529,81,8746.091056823729,-0.00392727298104989
2020-08-10 00:00:00-04:00,13973.157833847044,6085.856991561888,72,7887.300842285156,0.008745039805464483
2020-08-11 00:00:00-04:00,13730.082887191771,2569.8466811370836,105,11160.236206054688,-0.01739584920929438
2020-08-12 00:00:00-04:00,14091.265227783204,7282.401122558594,62,6808.86410522461,0.026305911155741546
2020-08-13 00:00:00-04:00,14204.975219970704,9063.835434204102,46,5141.1397857666025,0.008069537429705287
2020-08-14 00:00:00-04:00,14200.394592529297,9063.835434204102,46,5136.559158325195,-0.0003224664154969359
2020-08-17 00:00:00-04:00,14186.983307128907,9063.835434204102,46,5123.147872924805,-0.0009444304743084775
2020-08-18 00:00:00-04:00,14224.112675109864,9619.778141418457,41,4604.334533691405,0.0026171432768444802
2020-08-19 00:00:00-04:00,14224.439794128419,10064.095342224122,37,4160.344451904297,2.2997499107724195e-05
2020-08-20 00:00:00-04:00,14316.755742614747,10064.095342224122,37,4252.660400390625,0.006489953194813047
2020-08-21 00:00:00-04:00,14529.092588737489,11870.178449943543,22,2658.914138793945,0.014831352154085264
2020-08-24 00:00:00-04:00,14555.28280495453,12476.093260276795,17,2079.1895446777344,0.001802605087487974
2020-08-25 00:00:00-04:00,14527.888582389833,7128.471582572938,61,7399.4169998168945,-0.0018820810926031273
2020-08-26 00:00:00-04:00,14621.544924308779,9088.728113700869,45,5532.81681060791,0.006446658878735745
2020-08-27 00:00:00-04:00,14548.338950370791,7016.47420427704,62,7531.86474609375,-0.005006719489421441
2020-08-28 00:00:00-04:00,14529.196777763369,5068.975418510439,78,9460.22135925293,-0.001315763447134577
2020-08-31 00:00:00-04:00,14841.001533500674,9072.69657134247,46,5768.304962158203,0.02146056389122042
2020-09-01 00:00:00-04:00,15063.290335166934,11542.68331002045,27,3520.6070251464844,0.014978018913648583
2020-09-02 00:00:00-04:00,14981.007713615421,7191.836586296085,61,7789.171127319335,-0.005462460041642747
2020-09-03 00:00:00-04:00,14349.579917228702,4364.779616630558,85,9984.800300598145,-0.04214855291829589
2020-09-04 00:00:00-04:00,14350.130851890568,5416.6356126327555,76,8933.495239257812,3.839378330550147e-05
2020-09-08 00:00:00-04:00,13741.320761070256,2777.7465423202557,100,10963.57421875,-0.04242540344084067
2020-09-09 00:00:00-04:00,14167.920433769228,8467.483269462587,50,5700.43716430664,0.03104502690218447
2020-09-10 00:00:00-04:00,13974.398694938662,6033.746595329287,72,7940.652099609375,-0.013659149183906205
2020-09-11 00:00:00-04:00,13863.078741867068,3958.7397449798605,91,9904.338996887207,-0.00796599234798645
2020-09-14 00:00:00-04:00,14150.163583862308,8993.377298461917,46,5156.7862854003915,0.020708592033617412
2020-09-15 00:00:00-04:00,14152.199353050235,9997.877507041934,37,4154.321846008301,0.0001438689507624602
2020-09-16 00:00:00-04:00,14021.648779090885,7047.874365028385,64,6973.7744140625,-0.009224755156604814
2020-09-17 00:00:00-04:00,13910.320654090885,7047.874365028385,64,6862.4462890625,-0.007939731393501459
2020-09-18 00:00:00-04:00,13684.841122207645,4236.808750686649,91,9448.032371520996,-0.01620951360434164
2020-09-21 00:00:00-04:00,13960.688387664797,9895.711794647219,38,4064.9765930175777,0.020157140517291783
2020-09-22 00:00:00-04:00,14017.834288787844,11627.441100311282,22,2390.393188476563,0.004093344077039873
2020-09-23 00:00:00-04:00,13907.778433700565,6829.207846542361,68,7078.570587158203,-0.00785113112482061
2020-09-24 00:00:00-04:00,13972.417017089847,9870.959665405277,39,4101.457351684571,0.004647656971055403
2020-09-25 00:00:00-04:00,14118.887333648685,12264.000721710208,17,1854.8866119384766,0.010482818855154896
2020-09-28 00:00:00-04:00,14157.156317146304,13263.433477790835,8,893.7228393554688,0.0027104815410217142
2020-09-29 00:00:00-04:00,14150.39270630646,13263.433477790835,8,886.959228515625,-0.00047775207734701564
2020-09-30 00:00:00-04:00,14158.539205635074,13483.291097724918,6,675.2481079101562,0.000575708356488347
2020-10-01 00:00:00-04:00,14164.253240669254,13483.291097724918,6,680.9621429443359,0.0004035751818172173
2020-10-02 00:00:00-04:00,14131.78019875336,7981.294542015079,56,6150.485656738281,-0.002292605290524885
2020-10-05 00:00:00-04:00,14313.10287263489,11029.958471084597,29,3283.144401550293,0.012830844474748249
2020-10-06 00:00:00-04:00,14208.478687454226,5521.152362991335,79,8687.32632446289,-0.007309678838450462
